"","cond","vA_sue","vB_sue","defec","negl","countf","capab","fault","superh","comp1","comp2","familiarity","countf2","cond_name","cond_n","superh_level","superh_level_n"
"1","FL_39",100,5,0,0,10,0,50,55,1,1,60,10,"av",1,"AVs should be superhuman",1
"2","FL_39",100,6,7,8,7,6,13,62,1,1,26,7,"av",1,"AVs should be superhuman",1
"3","FL_39",82,0,0,3,15,17,70,79,1,1,19,15,"av",1,"AVs should be superhuman",1
"4","FL_39",100,0,0,0,0,0,83,22,1,1,55,0,"av",1,"AVs should not be superhuman",1
"5","FL_39",100,0,0,0,0,0,100,100,1,1,61,0,"av",1,"AVs should be superhuman",1
"6","FL_39",100,0,0,0,0,0,0,0,1,1,17,0,"av",1,"AVs should not be superhuman",1
"7","FL_39",100,0,0,0,0,0,71,83,1,1,29,0,"av",1,"AVs should be superhuman",1
"8","FL_39",100,0,0,0,0,0,0,0,1,1,59,0,"av",1,"AVs should not be superhuman",1
"9","FL_39",100,0,0,0,0,0,51,68,1,1,69,0,"av",1,"AVs should be superhuman",1
"10","FL_39",100,0,0,0,0,13,100,100,1,1,73,0,"av",1,"AVs should be superhuman",1
"11","FL_39",100,0,0,0,82,23,100,100,1,1,0,82,"av",1,"AVs should be superhuman",1
"12","FL_39",100,70,80,5,97,95,94,91,1,1,67,97,"av",1,"AVs should be superhuman",1
"13","FL_39",91,0,0,8,71,46,43,50,1,1,63,71,"av",1,"AVs should not be superhuman",1
"14","FL_39",100,100,10,10,80,10,100,95,1,1,85,80,"av",1,"AVs should be superhuman",1
"15","FL_39",100,66,71,8,10,12,49,60,1,1,4,10,"av",1,"AVs should be superhuman",1
"16","FL_39",100,20,9,0,71,50,61,68,1,1,40,71,"av",1,"AVs should be superhuman",1
"17","FL_39",100,0,0,0,0,0,0,71,1,1,70,0,"av",1,"AVs should be superhuman",1
"18","FL_39",100,0,0,0,50,50,100,100,1,1,53,50,"av",1,"AVs should be superhuman",1
"19","FL_39",100,29,7,0,59,45,66,99,1,1,46,59,"av",1,"AVs should be superhuman",1
"20","FL_39",100,0,0,0,0,0,70,100,1,1,30,0,"av",1,"AVs should be superhuman",1
"21","FL_39",100,0,0,0,100,0,100,50,1,1,50,100,"av",1,"AVs should not be superhuman",1
"22","FL_39",50,50,50,19,42,10,6,22,1,1,21,42,"av",1,"AVs should not be superhuman",1
"23","FL_39",100,40,20,20,15,20,40,51,1,1,10,15,"av",1,"AVs should be superhuman",1
"24","FL_39",100,0,7,3,79,8,95,93,1,1,69,79,"av",1,"AVs should be superhuman",1
"25","FL_39",100,90,100,65,100,90,100,100,1,1,54,100,"av",1,"AVs should be superhuman",1
"26","FL_39",100,0,0,0,0,0,100,50,1,1,41,0,"av",1,"AVs should not be superhuman",1
"27","FL_39",100,2,0,0,25,6,25,88,1,1,16,25,"av",1,"AVs should be superhuman",1
"28","FL_39",99,2,0,7,10,10,34,56,1,1,18,10,"av",1,"AVs should be superhuman",1
"29","FL_39",88,7,7,11,35,50,65,100,1,1,50,35,"av",1,"AVs should be superhuman",1
"30","FL_39",88,6,3,1,9,17,62,26,1,1,20,9,"av",1,"AVs should not be superhuman",1
"31","FL_39",100,0,0,0,70,20,100,100,1,1,20,70,"av",1,"AVs should be superhuman",1
"32","FL_39",100,0,0,0,50,50,100,100,1,1,6,50,"av",1,"AVs should be superhuman",1
"33","FL_39",100,0,0,0,0,65,100,47,1,1,18,0,"av",1,"AVs should not be superhuman",1
"34","FL_39",100,9,5,0,3,10,38,92,1,1,30,3,"av",1,"AVs should be superhuman",1
"35","FL_39",100,0,0,0,3,5,75,20,1,1,65,3,"av",1,"AVs should not be superhuman",1
"36","FL_39",100,0,0,0,14,37,92,100,1,1,69,14,"av",1,"AVs should be superhuman",1
"37","FL_39",100,21,25,10,18,17,75,83,1,1,41,18,"av",1,"AVs should be superhuman",1
"38","FL_39",100,0,2,3,22,10,95,93,1,1,0,22,"av",1,"AVs should be superhuman",1
"39","FL_39",100,0,0,0,0,0,50,60,1,1,0,0,"av",1,"AVs should be superhuman",1
"40","FL_39",100,0,0,0,0,40,100,0,1,1,0,0,"av",1,"AVs should not be superhuman",1
"41","FL_39",100,0,0,0,0,0,50,55,1,1,55,0,"av",1,"AVs should be superhuman",1
"42","FL_39",100,0,0,0,0,0,51,52,1,1,3,0,"av",1,"AVs should be superhuman",1
"43","FL_39",100,0,0,0,30,12,100,100,1,1,40,30,"av",1,"AVs should be superhuman",1
"44","FL_39",98,47,40,37,34,77,87,51,1,1,43,34,"av",1,"AVs should be superhuman",1
"45","FL_39",100,0,0,0,0,0,10,50,1,1,20,0,"av",1,"AVs should not be superhuman",1
"46","FL_39",84,57,40,23,23,59,70,40,1,1,56,23,"av",1,"AVs should not be superhuman",1
"47","FL_39",85,0,0,0,0,5,50,55,1,1,10,0,"av",1,"AVs should be superhuman",1
"48","FL_39",100,0,1,0,50,100,100,100,1,1,0,50,"av",1,"AVs should be superhuman",1
"49","FL_39",100,10,28,21,23,15,71,80,1,1,32,23,"av",1,"AVs should be superhuman",1
"50","FL_39",65,13,14,9,32,9,81,61,1,1,67,32,"av",1,"AVs should be superhuman",1
"51","FL_39",100,0,50,0,50,91,100,50,1,1,50,50,"av",1,"AVs should not be superhuman",1
"52","FL_39",85,74,66,67,60,72,50,82,1,1,40,60,"av",1,"AVs should be superhuman",1
"53","FL_39",100,18,0,0,81,63,10,91,1,1,61,81,"av",1,"AVs should be superhuman",1
"54","FL_39",100,0,0,0,8,30,13,50,1,1,0,8,"av",1,"AVs should not be superhuman",1
"55","FL_39",100,0,0,0,0,0,80,70,1,1,40,0,"av",1,"AVs should be superhuman",1
"56","FL_39",100,0,0,100,2,2,60,60,1,1,10,2,"av",1,"AVs should be superhuman",1
"57","FL_39",100,15,40,15,10,50,90,80,1,1,10,10,"av",1,"AVs should be superhuman",1
"58","FL_39",99,69,100,82,63,92,84,87,1,1,74,63,"av",1,"AVs should be superhuman",1
"59","FL_39",83,59,88,71,63,39,90,68,1,1,66,63,"av",1,"AVs should be superhuman",1
"60","FL_39",100,0,0,0,61,0,95,76,1,1,0,61,"av",1,"AVs should be superhuman",1
"61","FL_39",100,63,83,62,55,85,50,92,1,1,16,55,"av",1,"AVs should be superhuman",1
"62","FL_39",100,0,40,11,10,50,50,54,1,1,9,10,"av",1,"AVs should be superhuman",1
"63","FL_39",100,0,0,0,0,13,62,61,1,1,61,0,"av",1,"AVs should be superhuman",1
"64","FL_39",82,15,17,14,54,40,34,86,1,1,21,54,"av",1,"AVs should be superhuman",1
"65","FL_39",100,0,0,0,0,0,0,100,1,1,0,0,"av",1,"AVs should be superhuman",1
"66","FL_39",100,49,22,24,86,70,92,100,1,1,34,86,"av",1,"AVs should be superhuman",1
"67","FL_39",100,10,10,0,10,10,10,80,1,1,10,10,"av",1,"AVs should be superhuman",1
"68","FL_39",100,35,5,0,30,44,55,60,1,1,11,30,"av",1,"AVs should be superhuman",1
"69","FL_39",100,0,50,0,25,50,80,100,1,1,20,25,"av",1,"AVs should be superhuman",1
"70","FL_39",80,9,30,20,85,80,91,76,1,1,38,85,"av",1,"AVs should be superhuman",1
"71","FL_39",100,0,0,2,86,0,51,64,1,1,10,86,"av",1,"AVs should be superhuman",1
"72","FL_39",100,17,0,0,54,77,98,86,1,1,17,54,"av",1,"AVs should be superhuman",1
"73","FL_39",100,0,0,0,0,5,20,100,1,1,41,0,"av",1,"AVs should be superhuman",1
"74","FL_39",100,0,0,0,60,2,5,95,1,1,75,60,"av",1,"AVs should be superhuman",1
"75","FL_39",100,0,0,0,0,50,100,0,1,1,70,0,"av",1,"AVs should not be superhuman",1
"76","FL_39",100,0,0,0,20,0,33,80,1,1,20,20,"av",1,"AVs should be superhuman",1
"77","FL_39",100,0,0,0,0,0,100,80,1,1,0,0,"av",1,"AVs should be superhuman",1
"78","FL_39",100,0,0,0,0,0,60,57,1,1,0,0,"av",1,"AVs should be superhuman",1
"79","FL_39",100,0,0,0,4,4,90,71,1,1,60,4,"av",1,"AVs should be superhuman",1
"80","FL_39",100,1,15,0,25,20,50,60,1,1,2,25,"av",1,"AVs should be superhuman",1
"81","FL_39",100,10,5,0,30,25,40,75,1,1,42,30,"av",1,"AVs should be superhuman",1
"82","FL_39",100,0,1,0,0,8,0,84,1,1,8,0,"av",1,"AVs should be superhuman",1
"83","FL_39",85,7,17,13,34,32,31,62,1,1,0,34,"av",1,"AVs should be superhuman",1
"84","FL_39",82,7,0,0,39,29,71,67,1,1,62,39,"av",1,"AVs should be superhuman",1
"85","FL_39",92,0,0,0,100,0,100,50,1,1,0,100,"av",1,"AVs should not be superhuman",1
"86","FL_39",100,0,0,0,50,50,100,50,1,1,80,50,"av",1,"AVs should not be superhuman",1
"87","FL_39",70,0,8,0,3,14,40,42,1,1,55,3,"av",1,"AVs should not be superhuman",1
"88","FL_39",50,0,60,9,10,60,85,94,1,1,7,10,"av",1,"AVs should be superhuman",1
"89","FL_39",100,10,70,50,50,30,80,90,1,1,80,50,"av",1,"AVs should be superhuman",1
"90","FL_39",100,0,0,0,18,9,50,50,1,1,25,18,"av",1,"AVs should not be superhuman",1
"91","FL_39",0,0,0,0,75,75,100,90,1,1,50,75,"av",1,"AVs should be superhuman",1
"92","FL_39",100,0,4,2,10,10,25,10,1,1,75,10,"av",1,"AVs should not be superhuman",1
"93","FL_39",95,85,90,88,10,95,95,95,1,1,20,10,"av",1,"AVs should be superhuman",1
"94","FL_39",100,0,0,0,0,0,25,60,1,1,0,0,"av",1,"AVs should be superhuman",1
"95","FL_39",100,0,0,0,21,29,72,50,1,1,14,21,"av",1,"AVs should not be superhuman",1
"96","FL_39",100,50,1,7,20,0,100,50,1,1,0,20,"av",1,"AVs should not be superhuman",1
"97","FL_39",98,93,87,86,90,83,95,87,1,1,90,90,"av",1,"AVs should be superhuman",1
"98","FL_39",100,0,0,0,0,0,50,50,1,1,0,0,"av",1,"AVs should not be superhuman",1
"99","FL_39",100,0,3,2,5,3,13,60,1,1,21,5,"av",1,"AVs should be superhuman",1
"100","FL_39",83,10,6,5,30,27,68,77,1,1,71,30,"av",1,"AVs should be superhuman",1
"101","FL_39",100,70,56,45,90,55,100,80,1,1,45,90,"av",1,"AVs should be superhuman",1
"102","FL_39",100,0,19,0,50,80,67,75,1,1,50,50,"av",1,"AVs should be superhuman",1
"103","FL_39",86,100,100,94,100,95,95,100,1,1,97,100,"av",1,"AVs should be superhuman",1
"104","FL_39",100,10,10,0,28,12,75,75,1,1,37,28,"av",1,"AVs should be superhuman",1
"105","FL_39",88,53,14,19,73,93,98,100,1,1,28,73,"av",1,"AVs should be superhuman",1
"106","FL_39",81,30,19,20,34,18,30,55,1,1,40,34,"av",1,"AVs should be superhuman",1
"107","FL_39",100,0,1,2,3,30,87,65,1,1,52,3,"av",1,"AVs should be superhuman",1
"108","FL_39",75,30,50,10,50,75,60,85,1,1,0,50,"av",1,"AVs should be superhuman",1
"109","FL_39",72,78,69,72,72,79,77,70,1,1,81,72,"av",1,"AVs should be superhuman",1
"110","FL_39",62,58,69,79,53,62,50,72,1,1,52,53,"av",1,"AVs should be superhuman",1
"111","FL_39",100,75,74,26,57,100,50,52,1,1,69,57,"av",1,"AVs should be superhuman",1
"112","FL_39",71,19,88,100,61,82,45,74,1,1,23,61,"av",1,"AVs should be superhuman",1
"113","FL_39",90,20,25,10,65,60,70,70,1,1,25,65,"av",1,"AVs should be superhuman",1
"114","FL_39",77,63,76,37,70,73,68,66,1,1,52,70,"av",1,"AVs should be superhuman",1
"115","FL_39",35,99,73,0,61,71,75,96,1,1,71,61,"av",1,"AVs should be superhuman",1
"116","FL_39",100,0,0,0,8,5,8,8,1,1,10,8,"av",1,"AVs should not be superhuman",1
"117","FL_39",100,0,0,0,100,0,0,0,1,1,50,100,"av",1,"AVs should not be superhuman",1
"118","FL_39",100,0,0,0,60,25,48,51,1,1,0,60,"av",1,"AVs should be superhuman",1
"119","FL_39",100,20,10,30,95,60,70,75,1,1,8,95,"av",1,"AVs should be superhuman",1
"120","FL_39",93,94,91,97,92,92,94,98,1,1,91,92,"av",1,"AVs should be superhuman",1
"121","FL_39",92,91,75,76,82,87,75,89,1,1,91,82,"av",1,"AVs should be superhuman",1
"122","FL_39",100,0,2,0,50,21,70,96,1,1,30,50,"av",1,"AVs should be superhuman",1
"123","FL_39",100,0,0,0,100,10,90,71,1,1,51,100,"av",1,"AVs should be superhuman",1
"124","FL_39",100,0,0,0,0,0,75,80,1,1,20,0,"av",1,"AVs should be superhuman",1
"125","FL_39",81,70,28,19,60,20,51,93,1,1,30,60,"av",1,"AVs should be superhuman",1
"126","FL_39",83,18,60,0,7,61,70,94,1,1,62,7,"av",1,"AVs should be superhuman",1
"127","FL_39",88,10,16,6,96,42,86,59,1,1,0,96,"av",1,"AVs should be superhuman",1
"128","FL_39",100,0,0,0,50,12,0,13,1,1,0,50,"av",1,"AVs should not be superhuman",1
"129","FL_39",72,0,0,0,17,21,34,52,1,1,57,17,"av",1,"AVs should be superhuman",1
"130","FL_39",100,0,0,0,50,0,100,100,1,1,0,50,"av",1,"AVs should be superhuman",1
"131","FL_39",100,0,0,0,80,25,50,60,1,1,67,80,"av",1,"AVs should be superhuman",1
"132","FL_39",100,0,0,0,40,81,100,100,1,1,32,40,"av",1,"AVs should be superhuman",1
"133","FL_39",100,0,0,0,0,0,10,75,1,1,0,0,"av",1,"AVs should be superhuman",1
"134","FL_39",98,0,3,1,55,32,79,62,1,1,63,55,"av",1,"AVs should be superhuman",1
"135","FL_39",100,0,0,0,0,0,75,60,1,1,20,0,"av",1,"AVs should be superhuman",1
"136","FL_39",100,8,10,8,19,7,14,88,1,1,71,19,"av",1,"AVs should be superhuman",1
"137","FL_39",100,0,1,0,13,0,50,58,1,1,12,13,"av",1,"AVs should be superhuman",1
"138","FL_39",100,0,0,0,5,4,50,31,1,1,0,5,"av",1,"AVs should not be superhuman",1
"139","FL_39",82,11,31,11,12,5,79,57,1,1,7,12,"av",1,"AVs should be superhuman",1
"140","FL_39",100,14,0,5,84,16,15,10,1,1,0,84,"av",1,"AVs should not be superhuman",1
"141","FL_39",100,0,0,0,0,0,0,14,1,1,0,0,"av",1,"AVs should not be superhuman",1
"142","FL_39",80,20,10,20,80,65,90,100,1,1,25,80,"av",1,"AVs should be superhuman",1
"143","FL_39",90,10,5,0,25,50,35,50,1,1,30,25,"av",1,"AVs should not be superhuman",1
"144","FL_40",100,0,0,0,34,1,52,30,NA,1,13,34,"human",2,"AVs should not be superhuman",1
"145","FL_40",100,30,30,10,15,55,90,81,NA,1,1,15,"human",2,"AVs should be superhuman",1
"146","FL_40",100,0,0,0,0,0,0,100,NA,1,5,0,"human",2,"AVs should be superhuman",1
"147","FL_40",100,0,0,0,10,10,90,85,NA,1,55,10,"human",2,"AVs should be superhuman",1
"148","FL_40",100,0,0,0,1,30,81,100,NA,1,32,1,"human",2,"AVs should be superhuman",1
"149","FL_40",97,73,24,0,3,0,41,88,NA,1,4,3,"human",2,"AVs should be superhuman",1
"150","FL_40",100,0,0,0,0,0,0,40,NA,1,40,0,"human",2,"AVs should not be superhuman",1
"151","FL_40",100,0,0,0,0,0,50,50,NA,1,28,0,"human",2,"AVs should not be superhuman",1
"152","FL_40",100,61,0,0,0,0,50,68,NA,1,13,0,"human",2,"AVs should be superhuman",1
"153","FL_40",100,24,12,0,2,0,51,60,NA,1,37,2,"human",2,"AVs should be superhuman",1
"154","FL_40",100,0,0,0,0,0,100,50,NA,1,0,0,"human",2,"AVs should not be superhuman",1
"155","FL_40",100,0,0,0,100,0,100,50,NA,1,50,100,"human",2,"AVs should not be superhuman",1
"156","FL_40",100,0,0,0,100,0,100,75,NA,1,70,100,"human",2,"AVs should be superhuman",1
"157","FL_40",99,30,20,0,5,13,50,80,NA,1,18,5,"human",2,"AVs should be superhuman",1
"158","FL_40",100,0,0,0,0,0,9,100,NA,1,20,0,"human",2,"AVs should be superhuman",1
"159","FL_40",100,50,14,0,0,0,23,100,NA,1,31,0,"human",2,"AVs should be superhuman",1
"160","FL_40",100,0,0,0,0,0,50,100,NA,1,30,0,"human",2,"AVs should be superhuman",1
"161","FL_40",100,0,0,0,0,40,50,33,NA,1,8,0,"human",2,"AVs should not be superhuman",1
"162","FL_40",100,0,0,0,0,50,50,50,NA,1,50,0,"human",2,"AVs should not be superhuman",1
"163","FL_40",100,0,0,0,0,0,50,100,NA,1,61,0,"human",2,"AVs should be superhuman",1
"164","FL_40",100,0,0,0,0,0,100,84,NA,1,16,0,"human",2,"AVs should be superhuman",1
"165","FL_40",100,1,0,0,45,44,53,76,NA,1,27,45,"human",2,"AVs should be superhuman",1
"166","FL_40",100,0,0,0,0,0,50,100,NA,1,0,0,"human",2,"AVs should be superhuman",1
"167","FL_40",97,21,9,9,20,32,43,66,NA,1,5,20,"human",2,"AVs should be superhuman",1
"168","FL_40",100,0,0,0,1,0,0,73,NA,1,52,1,"human",2,"AVs should be superhuman",1
"169","FL_40",100,0,0,0,0,9,0,90,NA,1,39,0,"human",2,"AVs should be superhuman",1
"170","FL_40",100,0,0,0,2,0,0,82,NA,1,81,2,"human",2,"AVs should be superhuman",1
"171","FL_40",100,40,10,0,0,0,0,100,NA,1,30,0,"human",2,"AVs should be superhuman",1
"172","FL_40",100,10,0,100,0,0,0,100,NA,1,10,0,"human",2,"AVs should be superhuman",1
"173","FL_40",96,0,0,0,0,0,100,100,NA,1,0,0,"human",2,"AVs should be superhuman",1
"174","FL_40",100,30,30,12,32,14,18,22,NA,1,22,32,"human",2,"AVs should not be superhuman",1
"175","FL_40",66,20,17,7,34,23,51,50,NA,1,55,34,"human",2,"AVs should not be superhuman",1
"176","FL_40",100,0,0,0,0,0,100,93,NA,1,20,0,"human",2,"AVs should be superhuman",1
"177","FL_40",100,0,0,0,24,67,90,90,NA,1,3,24,"human",2,"AVs should be superhuman",1
"178","FL_40",100,55,0,0,10,0,60,80,NA,1,60,10,"human",2,"AVs should be superhuman",1
"179","FL_40",66,60,15,83,68,10,41,84,NA,1,23,68,"human",2,"AVs should be superhuman",1
"180","FL_40",94,29,68,50,18,30,50,77,NA,1,9,18,"human",2,"AVs should be superhuman",1
"181","FL_40",95,0,0,0,3,21,69,48,NA,1,13,3,"human",2,"AVs should not be superhuman",1
"182","FL_40",100,5,20,0,5,10,65,55,NA,1,50,5,"human",2,"AVs should be superhuman",1
"183","FL_40",100,0,0,0,0,0,0,81,NA,1,5,0,"human",2,"AVs should be superhuman",1
"184","FL_40",100,0,0,0,0,11,14,50,NA,1,40,0,"human",2,"AVs should not be superhuman",1
"185","FL_40",100,80,60,0,0,0,0,100,NA,1,0,0,"human",2,"AVs should be superhuman",1
"186","FL_40",90,0,0,0,0,9,10,80,NA,1,10,0,"human",2,"AVs should be superhuman",1
"187","FL_40",95,10,1,0,95,0,50,70,NA,1,40,95,"human",2,"AVs should be superhuman",1
"188","FL_40",100,0,0,0,1,0,5,50,NA,1,0,1,"human",2,"AVs should not be superhuman",1
"189","FL_40",35,72,72,68,66,75,50,84,NA,1,75,66,"human",2,"AVs should be superhuman",1
"190","FL_40",0,51,0,0,0,0,71,100,NA,1,19,0,"human",2,"AVs should be superhuman",1
"191","FL_40",100,10,0,0,20,10,100,80,NA,1,30,20,"human",2,"AVs should be superhuman",1
"192","FL_40",60,0,38,0,7,0,47,44,NA,1,27,7,"human",2,"AVs should not be superhuman",1
"193","FL_40",100,0,0,0,12,10,13,86,NA,1,60,12,"human",2,"AVs should be superhuman",1
"194","FL_40",100,35,0,0,2,5,10,92,NA,1,70,2,"human",2,"AVs should be superhuman",1
"195","FL_40",100,0,0,0,5,10,100,100,NA,1,50,5,"human",2,"AVs should be superhuman",1
"196","FL_40",100,0,83,0,0,50,51,100,NA,1,71,0,"human",2,"AVs should be superhuman",1
"197","FL_40",99,0,4,16,95,27,73,26,NA,1,20,95,"human",2,"AVs should not be superhuman",1
"198","FL_40",100,0,0,0,5,5,5,85,NA,1,25,5,"human",2,"AVs should be superhuman",1
"199","FL_40",98,25,21,22,34,33,38,89,NA,1,11,34,"human",2,"AVs should be superhuman",1
"200","FL_40",100,0,0,0,0,0,50,50,NA,1,0,0,"human",2,"AVs should not be superhuman",1
"201","FL_40",100,64,50,0,76,21,58,50,NA,1,31,76,"human",2,"AVs should not be superhuman",1
"202","FL_40",100,50,0,0,0,30,100,83,NA,1,61,0,"human",2,"AVs should be superhuman",1
"203","FL_40",99,0,1,0,0,9,61,98,NA,1,10,0,"human",2,"AVs should be superhuman",1
"204","FL_40",100,0,0,0,0,49,52,76,NA,1,12,0,"human",2,"AVs should be superhuman",1
"205","FL_40",100,18,0,0,100,0,7,100,NA,1,5,100,"human",2,"AVs should be superhuman",1
"206","FL_40",100,0,0,0,0,0,0,50,NA,1,0,0,"human",2,"AVs should not be superhuman",1
"207","FL_40",100,0,0,0,0,0,51,100,NA,1,73,0,"human",2,"AVs should be superhuman",1
"208","FL_40",100,0,0,0,7,0,61,100,NA,1,4,7,"human",2,"AVs should be superhuman",1
"209","FL_40",100,0,0,0,0,0,10,100,NA,1,13,0,"human",2,"AVs should be superhuman",1
"210","FL_40",90,0,10,10,10,11,100,80,NA,1,20,10,"human",2,"AVs should be superhuman",1
"211","FL_40",100,0,0,0,0,0,50,100,NA,1,17,0,"human",2,"AVs should be superhuman",1
"212","FL_40",100,0,0,0,0,0,0,100,NA,1,50,0,"human",2,"AVs should be superhuman",1
"213","FL_40",100,0,0,0,0,10,60,90,NA,1,50,0,"human",2,"AVs should be superhuman",1
"214","FL_40",100,0,0,0,0,0,100,100,NA,1,75,0,"human",2,"AVs should be superhuman",1
"215","FL_40",100,37,6,0,0,0,9,66,NA,1,7,0,"human",2,"AVs should be superhuman",1
"216","FL_40",61,0,0,0,0,0,7,53,NA,1,1,0,"human",2,"AVs should be superhuman",1
"217","FL_40",95,66,61,9,18,81,88,90,NA,1,22,18,"human",2,"AVs should be superhuman",1
"218","FL_40",100,2,5,2,3,7,55,73,NA,1,8,3,"human",2,"AVs should be superhuman",1
"219","FL_40",100,0,0,0,0,0,50,100,NA,1,80,0,"human",2,"AVs should be superhuman",1
"220","FL_40",100,0,0,0,0,0,50,63,NA,1,60,0,"human",2,"AVs should be superhuman",1
"221","FL_40",0,0,0,0,0,0,83,81,NA,1,0,0,"human",2,"AVs should be superhuman",1
"222","FL_40",96,6,0,0,0,0,50,71,NA,1,25,0,"human",2,"AVs should be superhuman",1
"223","FL_40",100,0,0,0,100,19,50,81,NA,1,60,100,"human",2,"AVs should be superhuman",1
"224","FL_40",100,0,0,0,0,4,0,50,NA,1,0,0,"human",2,"AVs should not be superhuman",1
"225","FL_40",100,0,0,0,2,10,100,5,NA,1,27,2,"human",2,"AVs should not be superhuman",1
"226","FL_40",100,10,0,0,0,0,7,100,NA,1,50,0,"human",2,"AVs should be superhuman",1
"227","FL_40",100,0,0,0,0,0,50,80,NA,1,0,0,"human",2,"AVs should be superhuman",1
"228","FL_40",100,10,6,8,19,6,100,100,NA,1,9,19,"human",2,"AVs should be superhuman",1
"229","FL_40",100,0,0,0,94,84,94,82,NA,1,55,94,"human",2,"AVs should be superhuman",1
"230","FL_40",94,0,0,0,0,20,100,82,NA,1,40,0,"human",2,"AVs should be superhuman",1
"231","FL_40",100,0,0,0,15,11,45,87,NA,1,72,15,"human",2,"AVs should be superhuman",1
"232","FL_40",100,5,9,0,4,2,61,88,NA,1,20,4,"human",2,"AVs should be superhuman",1
"233","FL_40",100,0,31,15,4,35,68,78,NA,1,76,4,"human",2,"AVs should be superhuman",1
"234","FL_40",100,20,10,0,0,0,70,100,NA,1,50,0,"human",2,"AVs should be superhuman",1
"235","FL_40",100,0,0,0,0,0,50,92,NA,1,0,0,"human",2,"AVs should be superhuman",1
"236","FL_40",100,0,0,0,0,0,100,75,NA,1,0,0,"human",2,"AVs should be superhuman",1
"237","FL_40",94,4,11,0,15,0,56,57,NA,1,32,15,"human",2,"AVs should be superhuman",1
"238","FL_40",100,0,0,0,0,13,33,79,NA,1,31,0,"human",2,"AVs should be superhuman",1
"239","FL_40",100,3,7,13,100,7,18,50,NA,1,57,100,"human",2,"AVs should not be superhuman",1
"240","FL_40",86,31,0,0,32,28,5,95,NA,1,1,32,"human",2,"AVs should be superhuman",1
"241","FL_40",100,10,10,0,0,10,50,90,NA,1,70,0,"human",2,"AVs should be superhuman",1
"242","FL_40",96,5,3,0,3,5,64,30,NA,1,0,3,"human",2,"AVs should not be superhuman",1
"243","FL_40",100,0,0,0,0,0,0,100,NA,1,0,0,"human",2,"AVs should be superhuman",1
"244","FL_40",100,20,0,0,0,0,100,80,NA,1,0,0,"human",2,"AVs should be superhuman",1
"245","FL_40",100,0,0,0,0,0,0,50,NA,1,0,0,"human",2,"AVs should not be superhuman",1
"246","FL_40",100,0,0,0,100,0,0,50,NA,1,0,100,"human",2,"AVs should not be superhuman",1
"247","FL_40",100,32,3,6,26,15,89,91,NA,1,73,26,"human",2,"AVs should be superhuman",1
"248","FL_40",90,13,22,12,32,21,60,60,NA,1,21,32,"human",2,"AVs should be superhuman",1
"249","FL_40",100,4,0,0,0,28,55,63,NA,1,47,0,"human",2,"AVs should be superhuman",1
"250","FL_40",100,0,0,0,0,0,0,95,NA,1,75,0,"human",2,"AVs should be superhuman",1
"251","FL_40",100,14,0,0,0,8,0,0,NA,1,8,0,"human",2,"AVs should not be superhuman",1
"252","FL_40",100,0,0,0,6,20,70,81,NA,1,60,6,"human",2,"AVs should be superhuman",1
"253","FL_40",100,0,0,0,0,0,0,79,NA,1,65,0,"human",2,"AVs should be superhuman",1
